2017-06-18 17:04:26.1549 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:05:03.9474 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:05:37.1364 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:05:37.1364 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:05:37.4115 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:06:03.2916 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:26:10.3289 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:26:46.2960 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:26:46.2960 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:26:46.5940 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:27:09.8383 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:27:55.8549 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:27:55.8549 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:27:56.0970 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:28:09.8437 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:28:24.5316 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:28:24.5316 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:28:24.5796 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:28:42.9366 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:28:42.9366 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:28:43.0346 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:29:09.8382 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:29:12.3723 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:29:12.3723 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:29:12.4633 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:29:12.5183 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:29:12.5183 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:29:12.6913 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:30:00.3081 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:30:00.3081 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:30:00.3841 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:30:09.8376 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:30:19.0961 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:30:19.0961 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:30:19.1811 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:30:32.9199 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:30:32.9199 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:30:32.9619 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:30:45.0776 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:30:45.0776 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:30:45.1336 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:30:48.0728 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 17:30:48.0728 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 17:30:48.1638 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 17:31:09.8380 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:32:11.8916 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:33:20.5385 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:34:19.7809 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:35:19.8486 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:36:19.7826 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:37:19.7863 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:38:34.0232 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:39:18.3890 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 17:40:12.1051 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 18:04:47.0111 | DEBUG | MvcPL.Jobs.EmailSender | Background
2017-06-18 18:05:45.0394 | TRACE | DAL.Concrete.UnitOfWork | Commit: start
2017-06-18 18:05:45.0394 | TRACE | ORM.EntityModel | DbContext: SaveChanges
2017-06-18 18:05:45.2154 | TRACE | DAL.Concrete.UnitOfWork | Commited successfully
2017-06-18 18:05:46.3753 | DEBUG | MvcPL.Jobs.EmailSender | Background
